Object-ID	MJD(Days)	RA	Dec	U	B	V	R	I	Z	Spectrum	Comments
N2230-01442	8222.180759	3h41m18.0s	23°58'00"		10.539	8.810					
N2230-00478	8222.185460	3h42m55.1s	24°29'36"		9.952	9.470					
N2230-00526	8222.188712	3h44m06.6s	24°20'12"		12.095	11.300					
N2230-00306	8222.190030	3h45m06.5s	24°15'50"		8.920	8.581					
N2230-01585	8222.191032	3h45m12.5s	24°28'02"		4.180	4.290					
N2230-00156	8222.195228	3h45m40.2s	24°37'39"		10.260	9.702					
N2230-01554	8222.198633	3h45m42.4s	25°03'26"		14.470	13.459					
N2230-00319	8222.205137	3h45m43.2s	24°16'13"		11.223	10.552					
N2230-00990	8222.206073	3h45m48.4s	24°52'43"		13.034	12.054					
N2230-01908	8222.207171	3h46m27.3s	24°15'18"		7.510	7.404					
N2230-02089	8222.208173	3h46m27.8s	23°35'35"		13.032	12.007					
N2230-01621	8222.209805	3h46m34.2s	23°37'27"		8.470	8.109					
N2230-01627	8222.210874	3h46m50.5s	23°14'22"		10.438	9.897					
N2230-02081	8222.211846	3h46m59.3s	24°31'12"		6.830	6.810					
N2230-01820	8222.212920	3h47m01.4s	24°22'24"		13.783	12.601					
N2230-02202	8222.213924	3h47m29.1s	24°06'18"		2.780	2.870					
N2230-02192	8222.214542	3h47m36.9s	23°36'34"		8.942	7.707					
N2230-02091	8222.215433	3h47m50.8s	24°40'45"		14.980	13.689					
N2230-02449	8222.216859	3h48m13.4s	25°05'56"		11.643	10.928					
N2230-02207	8222.217686	3h48m20.8s	23°25'16"		5.367	5.434					
N2230-01601	8222.217973	3h48m30.1s	24°20'44"		7.078	6.948					
N2230-01175	8222.218633	3h49m07.5s	24°00'40"		11.639	10.821					
N2230-01127	8222.220444	3h49m25.1s	23°47'42"		12.193	11.351					
N2230-00985	8222.221213	3h49m56.6s	24°20'56"		7.629	7.554					
